"Time(s)";"Treat"
60;"veic"
60;"veic"
60;"veic"
46;"veic"
50;"veic"
55;"veic"
60;"Venla_40"
60;"Venla_40"
48;"Venla_40"
60;"Venla_40"
60;"Venla_40"
49;"Venla_40"
60;"Venla_60"
47;"Venla_60"
26;"Venla_60"
55;"Venla_60"
60;"Venla_60"
51;"Venla_60"
