C;Treat
30;A_cont
37;A_cont
34;A_cont
35;A_cont
50;A_cont
36;A_cont
30;A_VPA_10
49;A_VPA_10
33;A_VPA_10
25;A_VPA_10
25;A_VPA_10
22;A_VPA_10
22;B_VPA_25
14;B_VPA_25
29;B_VPA_25
7;B_VPA_25
37;B_VPA_25
14;B_VPA_25
19;D_VPA_100
14;D_VPA_100
9;D_VPA_100
28;D_VPA_100
16;D_VPA_100
16;D_VPA_100
10;E_VPA_250
16;E_VPA_250
11;E_VPA_250
7;E_VPA_250
11;E_VPA_250
7;E_VPA_250
2;F_MORF_5
4;F_MORF_5
2;F_MORF_5
4;F_MORF_5
1;F_MORF_5
5;F_MORF_5
