F1;F2;Treat
40;16;A_cont
42;20;A_cont
55;33;A_cont
52;30;A_cont
40;22;A_cont
40;18;A_cont
42;16;A_VPA_10
58;51;A_VPA_10
41;6;A_VPA_10
37;5;A_VPA_10
46;14;A_VPA_10
40;37;A_VPA_10
18;0;B_VPA_50
32;12;B_VPA_50
10;0;B_VPA_50
19;5;B_VPA_50
32;15;B_VPA_50
45;0;B_VPA_50
17;0;D_VPA_100
14;0;D_VPA_100
3;0;D_VPA_100
8;0;D_VPA_100
12;0;D_VPA_100
5;0;D_VPA_100
0;0;F_MORF_5
22;3;F_MORF_5
0;0;F_MORF_5
15;0;F_MORF_5
0;0;F_MORF_5
0;0;F_MORF_5
