C;Treat
54;A_cont
41;A_cont
40;A_cont
50;A_cont
32;A_cont
39;A_cont
24;A_VPA_10
15;A_VPA_10
4;A_VPA_10
25;A_VPA_10
12;A_VPA_10
27;A_VPA_10
15;B_VPA_25
24;B_VPA_25
31;B_VPA_25
21;B_VPA_25
19;B_VPA_25
23;B_VPA_25
8;D_VPA_100
9;D_VPA_100
21;D_VPA_100
18;D_VPA_100
9;D_VPA_100
11;D_VPA_100
2;E_VPA_250
3;E_VPA_250
0;E_VPA_250
12;E_VPA_250
9;E_VPA_250
0;E_VPA_250
2;F_MORF_5
4;F_MORF_5
2;F_MORF_5
4;F_MORF_5
1;F_MORF_5
5;F_MORF_5
